AU,AF,CR,AB,AR,BA,BE,BF,BN,BP,C1,C3,CA,CL,CT,CY,D2,DA,DE,DI,DT,EA,EF,EI,EM,EP,ER,FU,FX,GA,GP,HO,ID,IS,J9,JI,LA,NR,OA,OI,PA,PD,PG,PI,PM,PN,PT,PU,PY,RI,RP,SC,SE,SI,SN,SO,SP,SU,TC,TI,U1,U2,UT,VL,WC,WE,Z9,DB,AU_UN,AU1_UN,AU_UN_NR,SR_FULL,SR,AU_CO
JOHNSTON DJ,"JOHNSTON, DJ",NA,NA,NA,NA,NA,NA,NA,193,"ORG ECON COOPERAT & DEV, PARIS, FRANCE.;",NA,NA,"JACKSON HOLE, WY",SYMPOSIUM ON ECONOMIC POLICY FOR THE INFORMATION ECONOMY,"AUG 30-SEP 01, 2001",NA,2022-09-18,NA,NA,PROCEEDINGS PAPER,NA,NA,NA,NA,199,,NA,NA,BBS17,FRBKC,NA,NA,NA,ECONOMIC POLICY FOR THE INFORMATION ECONOMY,NA,ENGLISH,0,NA,NA,"925 GRAND AVE, KANSAS CITY, MO 64198 USA",NA,7,KANSAS CITY,NA,NA,C,FEDERAL RESERVE BANK KANSAS CITY,2001,NA,NA,BUSINESS & ECONOMICS,NA,NA,NA,ECONOMIC POLICY FOR THE INFORMATION ECONOMY,FED RESERVE BANK KANSAS CITY,NA,0,REDUCING THE INTERNATIONAL DIGITAL DIVIDE,0,2,WOS:000227537000011,NA,ECONOMICS,CONFERENCE PROCEEDINGS CITATION INDEX - SOCIAL SCIENCE &AMP; HUMANITIES (CPCI-SSH),0,ISI,NA,NOTREPORTED,NA,"JOHNSTON DJ, 2001, ECONOMIC POLICY FOR THE INFORMATION ECONOMY","JOHNSTON DJ, 2001, ECONOMIC POLICY FOR THE INFORMATION ECONOMY",FRANCE
CAWKELL T,"CAWKELL, T","*AM LIB ASS, 1989, AM LIB ASS REP PRES;BICKNELL C, 2000, DEATH DIGITAL DIVIDE;CAWKELL T, 1998, J INFORM SCI, V24, P56, DOI 10.1177/016555159802400106;DAVIDSON J., 1997, SOVEREIGN INDIVIDUAL;FREAN A, 2000, TIMES 0911;HAYWOOD T, 1995, INFO RICH INFO POOR;JACOBSON TL, 1994, J AM SOC INFORM SCI, V45, P745, DOI 10.1002/(SICI)1097-4571(199412)45:10<745::AID-ASI5>3.0.CO;2-A;KAGAN AL, 1999, GROWING GAP INFORMAT;LEVY K, FALLING NET DIGITAL;MARCELLA R, 2000, J INFORM SCI, V26, P239, DOI 10.1177/0165551004233249;NEICE DC, 2000, INFORMATION TECHNOLO;OBRIEN C, 2000, BRIDGING DIGITAL DIV;PHILIPSON G, 2000, FAIRFAX IT;SCHILLER HI, 1984, INFORMATION CRISIS E;SKUSE A, 2000, INFORMATION COMMUNIC;THOMPSON D, 2000, IN PRESS INFORMATION;WILSKI H, 1987, RADIAT PHYS CHEM, V29, P1;WIST K, 2000, CONTENT DIGITAL DIVI;2000, CONTENT DIGITAL DIVI;2000, OECD OBSERVER 0628",NA,NA,NA,NA,NA,NA,55,"CITECH LTD, IVER SL0 0QZ, BUCKS, ENGLAND.;",NA,NA,NA,NA,NA,NA,2022-09-18,NA,10.1177/0165551014233536,ARTICLE,NA,NA,NA,NA,60,,NA,NA,407RK,NA,NA,NA,1,J INFORM SCI,J. INF. SCI.,ENGLISH,20,NA,NA,"WINDSOR COURT, EAST GRINSTEAD HOUSE, E GRINSTEAD RH19 1XA, W SUSSEX, ENGLAND",NA,6,E GRINSTEAD,NA,NA,J,BOWKER-SAUR,2001,NA,"CAWKELL, T (CORRESPONDING AUTHOR), CITECH LTD, POB 565, IVER SL0 0QZ, BUCKS, ENGLAND.",COMPUTER SCIENCE; INFORMATION SCIENCE & LIBRARY SCIENCE,NA,NA,0165-5515,JOURNAL OF INFORMATION SCIENCE,NA,NA,16,SOCIOTECHNOLOGY: THE DIGITAL DIVIDE,2,12,WOS:000167284400007,27,"COMPUTER SCIENCE, INFORMATION SYSTEMS; INFORMATION SCIENCE & LIBRARY SCIENCE",SCIENCE CITATION INDEX EXPANDED (SCI-EXPANDED); SOCIAL SCIENCE CITATION INDEX (SSCI),16,ISI,CITECH LTD,CITECH LTD,NA,"CAWKELL T, 2001, J INFORM SCI","CAWKELL T, 2001, J INFORM SCI",UNITED KINGDOM
JAMES J,"JAMES, J","BARBER S, 2001, NEW INITIATIVE WILL;CAVE D, 2000, UNCHAINING NET;DEMPAIRE A, 2001, ARGENTINA EMBRACES P;HUDSON H, 1997, GLOBAL CONNECTIONS;JAMES J, 2001, J INFORM SCI, P27;KAYANI R, 1997, 359 WORLD BANK;KEEGAN V, 2000, GUARDIAN 1214;LALL S, 1992, WORLD DEV, P20;MAIN L, 2001, 3 WORLD Q, P22;METCALFE B, 2000, NEW DEAL SEEKS RECYC;MURRAY D, 2001, LINUX MEXICAN SCH;POLLOCK H, 2001, NEW DEAL OLD PC;ROCHELT R, 2000, UPSIDE CHINA LINUX B;RODRIGUEZ F, 2001, POOR COUNTRIES LOSIN;SCHEERES J, 2001, MEXICO CITY SAYS HOL;U. S. DEPARTMENT OF COMMERCE, 2000, FALL NET DIG INCL;WACHIRA N, 2001, AFRICA LINUX CONTINE;WACHIRA N, 2001, PENGUIN MAD DOG VISI;WILLIAMS M, 2001, TCL BRING VENUS SET;2000, NATL SEMI PC SELLER;DIGITAL DIVIDE SUMMI;2000, BUSINESS LINE JUN;2001, DIGITAL DIVIDE NETWO;2001, ECONOMIST 0111;2001, RECYCLING UNWANTED C;2001, IMAGINE PATH FINDING;2001, WORLDGATE BRINGS INT",NA,NA,NA,NA,NA,NA,385,"TILBURG UNIV, NL-5000 LE TILBURG, NETHERLANDS.;",NA,NA,NA,NA,NA,NA,2022-09-18,NA,10.1177/016555150102700604,ARTICLE,NA,NA,NA,NA,392,,NA,NA,526AH,NA,NA,NA,6,J INFORM SCI,J. INF. SCI.,ENGLISH,27,GREEN PUBLISHED,NA,"WINDSOR COURT, EAST GRINSTEAD HOUSE, E GRINSTEAD RH19 1XA, W SUSSEX, ENGLAND",NA,8,E GRINSTEAD,NA,NA,J,BOWKER-SAUR,2001,NA,"JAMES, J (CORRESPONDING AUTHOR), KATHOLIEKE UNIV BRABANT, POB 90153, NL-5000 LE TILBURG, NETHERLANDS.",COMPUTER SCIENCE; INFORMATION SCIENCE & LIBRARY SCIENCE,NA,NA,0165-5515,JOURNAL OF INFORMATION SCIENCE,NA,NA,11,LOW-COST COMPUTING AND RELATED WAYS OF OVERCOMING THE GLOBAL DIGITAL DIVIDE,1,3,WOS:000174105900004,27,"COMPUTER SCIENCE, INFORMATION SYSTEMS; INFORMATION SCIENCE & LIBRARY SCIENCE",SCIENCE CITATION INDEX EXPANDED (SCI-EXPANDED); SOCIAL SCIENCE CITATION INDEX (SSCI),11,ISI,TILBURG UNIV,KATHOLIEKE UNIV BRABANT,NA,"JAMES J, 2001, J INFORM SCI","JAMES J, 2001, J INFORM SCI-a-b",NETHERLANDS
HARRINGTON J,"HARRINGTON, J",NA,NA,NA,NA,NA,NA,NA,65,"TROY STATE UNIV, TROY, AL 36082 USA.;",NA,NA,NA,NA,NA,NA,2022-09-18,NA,10.1080/10758216.2001.11655918,ARTICLE,NA,NA,NA,NA,65,,NA,NA,392HK,NA,NA,NA,1,PROBL POST-COMMUNISM,PROBL. POST-COMMUNISM,ENGLISH,0,NA,NA,"80 BUSINESS PARK DR, ARMONK, NY 10504 USA",JAN-FEB,1,ARMONK,NA,NA,J,M E SHARPE INC,2001,NA,"HARRINGTON, J (CORRESPONDING AUTHOR), TROY STATE UNIV, TROY, AL 36082 USA.",GOVERNMENT & LAW,NA,NA,1075-8216,PROBLEMS OF POST-COMMUNISM,NA,NA,1,BRIDGING THE DIGITAL DIVIDE,1,2,WOS:000166405500006,48,POLITICAL SCIENCE,SOCIAL SCIENCE CITATION INDEX (SSCI),1,ISI,TROY STATE UNIV,TROY STATE UNIV,NA,"HARRINGTON J, 2001, PROBL POST-COMMUNISM","HARRINGTON J, 2001, PROBL POST-COMMUNISM",USA
BRUN C;MANGSTL A,"BRUN, C;MANGSTL, A",NA,NA,NA,NA,"VIRCHOW, D VONBRAUN, J",NA,3-540-42467-9,259,"FAO, I-00100 ROME, ITALY.;",NA,NA,"HANNOVER, GERMANY",GLOBAL DIALOGUE ON THE ROLE OF THE VILLAGE IN THE 21ST CENTURY,"AUG, 2000",NA,2022-09-18,NA,NA,PROCEEDINGS PAPER,NA,NA,NA,NA,262,,NA,NA,BT90Y,NA,NA,NA,NA,GLOBAL DIAL EXPO,NA,ENGLISH,0,NA,NA,"HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY",NA,4,BERLIN,NA,NA,C,SPRINGER-VERLAG BERLIN,2001,NA,NA,ENVIRONMENTAL SCIENCES & ECOLOGY; GEOGRAPHY; PUBLIC ADMINISTRATION,GLOBAL DIALOGUE EXPO 2000,NA,NA,"VILLAGES IN THE FUTURE: CROPS, JOBS AND LIVELIHOOD",NA,NA,2,WORLDWIDE ACCESS TO ICT: THE DIGITAL DIVIDE,0,1,WOS:000174422600036,NA,ENVIRONMENTAL STUDIES; GEOGRAPHY; REGIONAL & URBAN PLANNING,CONFERENCE PROCEEDINGS CITATION INDEX - SOCIAL SCIENCE &AMP; HUMANITIES (CPCI-SSH),2,ISI,NA,NOTREPORTED,NA,"BRUN C, 2001, GLOBAL DIAL EXPO","BRUN C, 2001, GLOBAL DIAL EXPO",ITALY
CHON K,"CHON, K",NA,NA,NA,NA,NA,NA,NA,116,"KOREAN ADV INST SCI & TECHNOL, DEPT COMP SCI, SEOUL, SOUTH KOREA.;",NA,NA,NA,NA,NA,NA,2022-09-18,NA,10.1145/365181.365231,ARTICLE,NA,NA,NA,NA,116,,NA,NA,409NG,NA,NA,NA,3,COMMUN ACM,COMMUN. ACM,ENGLISH,0,NA,NA,"1515 BROADWAY, NEW YORK, NY 10036 USA",MAR,1,NEW YORK,NA,NA,J,ASSOC COMPUTING MACHINERY,2001,NA,"CHON, K (CORRESPONDING AUTHOR), KOREAN ADV INST SCI & TECHNOL, DEPT COMP SCI, SEOUL, SOUTH KOREA.",COMPUTER SCIENCE,NA,NA,0001-0782,COMMUNICATIONS OF THE ACM,NA,NA,5,THE FUTURE OF THE INTERNET DIGITAL DIVIDE,1,4,WOS:000167389300043,44,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE; COMPUTER SCIENCE, SOFTWARE ENGINEERING; COMPUTER SCIENCE, THEORY & METHODS",SCIENCE CITATION INDEX EXPANDED (SCI-EXPANDED),5,ISI,KOREAN ADV INST SCI AND TECHNOL,KOREAN ADV INST SCI AND TECHNOL,NA,"CHON K, 2001, COMMUN ACM","CHON K, 2001, COMMUN ACM",KOREA
MOLTENBREY K,"MOLTENBREY, K",NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,2022-09-18,NA,NA,ARTICLE,NA,NA,2163-3800,NA,53,,NA,NA,416ER,NA,NA,NA,4,COMPUT GRAPH WORLD,COMPUT. GRAPH. WORLD,ENGLISH,0,NA,NA,"620 WEST ELK AVENUE, GLENDALE, CA 91204 USA",APR,2,GLENDALE,NA,NA,J,COMPUTER GRAPHICS WORLD,2001,NA,NA,COMPUTER SCIENCE,NA,NA,0271-4159,COMPUTER GRAPHICS WORLD,NA,NA,0,THE DIGITAL DIVIDE,1,1,WOS:000167767800022,24,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIENCE CITATION INDEX EXPANDED (SCI-EXPANDED),0,ISI,NA,NOTREPORTED,NA,"MOLTENBREY K, 2001, COMPUT GRAPH WORLD","MOLTENBREY K, 2001, COMPUT GRAPH WORLD",NA
MORRING F,"MORRING, F",NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,2022-09-18,NA,NA,ARTICLE,NA,NA,NA,NA,35,,NA,NA,490JL,NA,NA,NA,19,AVIAT WEEK SPACE TEC,AVIAT. WEEK SPACE TECHNOL.,ENGLISH,0,NA,NA,"1221 AVENUE OF THE AMERICAS, NEW YORK, NY 10020 USA",NOV 5,1,NEW YORK,NA,NA,J,MCGRAW HILL INC,2001,NA,NA,ENGINEERING,NA,NA,0005-2175,AVIATION WEEK & SPACE TECHNOLOGY,NA,NA,0,"ECHOSTAR, HUGHES ARGUE MERGER WILL HELP CLOSE 'DIGITAL DIVIDE'",0,0,WOS:000172048700014,155,"ENGINEERING, AEROSPACE",SCIENCE CITATION INDEX EXPANDED (SCI-EXPANDED),0,ISI,NA,NOTREPORTED,NA,"MORRING F, 2001, AVIAT WEEK SPACE TEC","MORRING F, 2001, AVIAT WEEK SPACE TEC",NA
GABE TM;ABEL JR,"GABE, TM;ABEL, JR","BRAEUTIGAM RR, 1993, AM ECON REV, V83, P191;CRANDALL RW, 1997, REG SCI URBAN ECON, V27, P161, DOI 10.1016/S0166-0462(96)02152-7;EGAN BL, 1996, RUR TEL WORKSH;*FED COMM COMM, 2002, AUT REP MAN INF SYST;GREENSTEIN S, 1995, J ECON MANAGE STRAT, V4, P187, DOI 10.1111/J.1430-9134.1995.00187.X;GREENSTEIN SM, 1995, IND CORP CHANGE, V4, P647, DOI DOI 10.1093/ICC/4.4.647;GREENSTEIN SM, 1996, 5770 NBER NAT BUR EC;KESSLER GARY C., 1990, ISDN CONCEPTS FACILI;LEFF NH, 1984, ECON DEV CULT CHANGE, V32, P255, DOI 10.1086/451385;MALECKI EJ, 2001, GOING DIGITAL RURAL;MALECKI EJ, 1996, TVA RUR STUD RUR TEL;MALECKI EJ, 1999, 997 TVA RUR STUD;NORTON SW, 1992, ECON DEV CULT CHANGE, V41, P175, DOI 10.1086/452002;PARKER EB, 2000, TELECOMMUN POLICY, V24, P281, DOI 10.1016/S0308-5961(00)00018-5;PARKER EB, 1996, RUR TEL WORKSH;PINDYCK RS, 1982, AM ECON REV, V72, P415;ROLLER LH, 2001, AM ECON REV, V91, P909, DOI 10.1257/AER.91.4.909;STENBERG P, 1997, RURAL DEV PERSPECTIV, V12, P32;*US C OFF TECHN AS, 1991, OTATCT471;*US DEP COMM, 2000, ADV TEL RUR AM CHALL;*US DEP COMM, 2000, FALL THROUGH NET DIG",NA,NA,NA,NA,NA,NA,1246,"UNIV MAINE, DEPT RESOURCE ECON & POLICY, ORONO, ME 04473 USA.; ANAL GRP ECON, CAMBRIDGE, MA USA.;",NA,NA,"LONG BEACH, CALIFORNIA",ANNUAL MEETING OF THE AMERICAN-AGRICULTURAL-ECONOMICS-ASSOCIATION (AAEA),"JUL, 2002",NA,2022-09-18,NA,10.1111/1467-8276.00385,ARTICLE; PROCEEDINGS PAPER,NA,NA,NA,NA,1252,,NA,NA,630NW,NA,NA,ECONOMIC-DEVELOPMENT; COSTS,5,AM J AGR ECON,AM. J. AGR. ECON.,ENGLISH,21,NA,NA,"350 MAIN STREET, STE 6, MALDEN, MA 02148 USA",NA,7,MALDEN,NA,NA,J,BLACKWELL PUBLISHERS,2002,NA,"GABE, TM (CORRESPONDING AUTHOR), UNIV MAINE, DEPT RESOURCE ECON & POLICY, ORONO, ME 04473 USA.",AGRICULTURE; BUSINESS & ECONOMICS,NA,NA,0002-9092,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,AMERICAN AGRICULTURAL ECONOM ASSOC,NA,14,DEPLOYMENT OF ADVANCED TELECOMMUNICATIONS INFRASTRUCTURE IN RURAL AMERICA: MEASURING THE DIGITAL DIVIDE,4,18,WOS:000180115500006,84,AGRICULTURAL ECONOMICS & POLICY; ECONOMICS,CONFERENCE PROCEEDINGS CITATION INDEX - SCIENCE (CPCI-S); CONFERENCE PROCEEDINGS CITATION INDEX - SOCIAL SCIENCE &AMP; HUMANITIES (CPCI-SSH); SCIENCE CITATION INDEX EXPANDED (SCI-EXPANDED); SOCIAL SCIENCE CITATION INDEX (SSCI),14,ISI,UNIV MAINE,UNIV MAINE,NA,"GABE TM, 2002, AM J AGR ECON","GABE TM, 2002, AM J AGR ECON",USA;USA
[ANONYMOUS],[ANONYMOUS],NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,2022-09-18,NA,NA,ARTICLE,NA,NA,NA,NA,20,,NA,NA,541VN,NA,NA,NA,2,COMMUN NEWS,COMMUN. NEWS,ENGLISH,0,NA,NA,"2500 NORTH TAMIAMI TRAIL, NOKOMIS, FL 34275-3482 USA",FEB,1,NOKOMIS,NA,NA,J,NELSON PUBLISHING,2002,"LONGORIA, INÉS ALVAREZ ICAZA/AAW-3137-2021",NA,TELECOMMUNICATIONS,NA,NA,0010-3632,COMMUNICATIONS NEWS,NA,NA,0,RACEWAYS BRIDGE THE DIGITAL GAP - UPGRADED KIDS' LABS USE VERSATILE SOLUTION.,0,0,WOS:000175005900007,39,TELECOMMUNICATIONS,SCIENCE CITATION INDEX EXPANDED (SCI-EXPANDED),0,ISI,NA,NOTREPORTED,NA,"[ANONYMOUS], 2002, COMMUN NEWS","[ANONYMOUS], 2002, COMMUN NEWS",NA
VENKAT K,"VENKAT, K",NA,NA,NA,NA,NA,NA,NA,14,"SURYA TECHNOL INC, CUPERTINO, CA USA.;",NA,NA,NA,NA,NA,NA,2022-09-18,NA,10.1109/6.981859,ARTICLE,NA,NA,NA,NA,+,,NA,NA,517WY,NA,NA,NA,2,IEEE SPECTRUM,IEEE SPECTR.,ENGLISH,0,NA,NA,"345 E 47TH ST, NEW YORK, NY 10017-2394 USA",FEB,81,NEW YORK,NA,NA,J,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2002,NA,"VENKAT, K (CORRESPONDING AUTHOR), SURYA TECHNOL INC, CUPERTINO, CA USA.",ENGINEERING,NA,NA,0018-9235,IEEE SPECTRUM,NA,NA,2,DELVING INTO THE DIGITAL DIVIDE,1,3,WOS:000173634500011,39,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIENCE CITATION INDEX EXPANDED (SCI-EXPANDED),2,ISI,SURYA TECHNOL INC,SURYA TECHNOL INC,NA,"VENKAT K, 2002, IEEE SPECTRUM","VENKAT K, 2002, IEEE SPECTRUM",USA
BAUM R,"BAUM, R",NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,2022-09-18,NA,10.1021/cen-v080n017.p033,ARTICLE,NA,NA,NA,NA,33,,NA,NA,545PB,NA,NA,NA,17,CHEM ENG NEWS,CHEM. ENG. NEWS,ENGLISH,0,NA,NA,"1155 16TH ST, NW, WASHINGTON, DC 20036 USA",APR 29,1,WASHINGTON,NA,NA,J,AMER CHEMICAL SOC,2002,NA,NA,CHEMISTRY; ENGINEERING,NA,NA,0009-2347,CHEMICAL & ENGINEERING NEWS,NA,NA,0,ANOTHER DIGITAL DIVIDE,1,2,WOS:000175225300051,80,"CHEMISTRY, MULTIDISCIPLINARY; ENGINEERING, CHEMICAL",SCIENCE CITATION INDEX EXPANDED (SCI-EXPANDED),0,ISI,NA,NOTREPORTED,NA,"BAUM R, 2002, CHEM ENG NEWS","BAUM R, 2002, CHEM ENG NEWS",NA
MURDOCK G,"MURDOCK, G","COMPAINE B. M., 2001, DIGITAL DIVIDE FACIN;NORRIS P., 2001, DIGITAL DIVIDE CIVIC;WILHELM A. G., 2000, DEMOCRACY DIGITAL AG",NA,NA,NA,NA,NA,NA,385,"UNIV LOUGHBOROUGH, LOUGHBOROUGH, LEICS, ENGLAND.;",NA,NA,NA,NA,NA,NA,2022-09-18,NA,10.1177/0267323102017003695,REVIEW,NA,NA,NA,NA,390,,NA,NA,589PF,NA,NA,NA,3,EUR J COMMUN,EUR. J. COMMUN.,ENGLISH,3,NA,NA,"6 BONHILL STREET, LONDON EC2A 4PU, ENGLAND",SEP,6,LONDON,NA,NA,J,SAGE PUBLICATIONS LTD,2002,NA,"MURDOCK, G (CORRESPONDING AUTHOR), UNIV LOUGHBOROUGH, LOUGHBOROUGH, LEICS, ENGLAND.",COMMUNICATION,NA,NA,0267-3231,EUROPEAN JOURNAL OF COMMUNICATION,NA,NA,13,REVIEW ARTICLE: DEBATING DIGITAL DIVIDES,2,10,WOS:000177768300006,17,COMMUNICATION,SOCIAL SCIENCE CITATION INDEX (SSCI),13,ISI,UNIV LOUGHBOROUGH,UNIV LOUGHBOROUGH,NA,"MURDOCK G, 2002, EUR J COMMUN","MURDOCK G, 2002, EUR J COMMUN",UNITED KINGDOM
ABUNGU L,"ABUNGU, L","ABUNGU L, 1999, CONNECTIBITY COLLABO;BLACK J, 1999, LOSING GROUND BIT BY;1992, WHAT MUSEUMS AFRICA",NA,NA,NA,NA,NA,NA,29,"AFRICOM, NAIROBI, KENYA.;",NA,NA,NA,NA,NA,NA,2022-09-18,NA,10.1111/1468-0033.00385,ARTICLE,NA,NA,NA,NA,34,,NA,NA,618MV,NA,NA,NA,3,MUSEUM INT,MUS. INT.,ENGLISH,3,NA,NA,"108 COWLEY RD, OXFORD OX4 1JF, OXON, ENGLAND",SEP,6,OXFORD,NA,NA,J,BLACKWELL PUBL LTD,2002,NA,"ABUNGU, L (CORRESPONDING AUTHOR), AFRICOM, NAIROBI, KENYA.",ART,NA,NA,1350-0775,MUSEUM INTERNATIONAL,NA,NA,4,ACCESS TO DIGITAL HERITAGE IN AFRICA: BRIDGING THE DIGITAL DIVIDE,1,2,WOS:000179422600005,54,ART,ARTS &AMP; HUMANITIES CITATION INDEX (A&AMP;HCI),4,ISI,NA,L (CORRESPONDING AUTHOR),NA,"ABUNGU L, 2002, MUSEUM INT","ABUNGU L, 2002, MUSEUM INT",KENYA
BRIGGS L;MCBRIDE KB,"BRIGGS, L;MCBRIDE, KB",NA,NA,NA,NA,NA,NA,NA,108,"UNIV ARIZONA, TUCSON, AZ 85721 USA.;",NA,NA,NA,NA,NA,NA,2022-09-18,NA,10.1109/MC.2002.1039527,ARTICLE,NA,NA,NA,NA,+,,NA,NA,598XB,NA,NA,NA,10,COMPUTER,COMPUTER,ENGLISH,0,NA,NA,"10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1314 USA",OCT,3,LOS ALAMITOS,NA,NA,J,IEEE COMPUTER SOC,2002,NA,"BRIGGS, L (CORRESPONDING AUTHOR), UNIV ARIZONA, TUCSON, AZ 85721 USA.",COMPUTER SCIENCE,NA,NA,0018-9162,COMPUTER,NA,NA,1,RETHINKING THE DIGITAL DIVIDE,3,6,WOS:000178300800025,35,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE; COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIENCE CITATION INDEX EXPANDED (SCI-EXPANDED),1,ISI,UNIV ARIZONA,UNIV ARIZONA,NA,"BRIGGS L, 2002, COMPUTER","BRIGGS L, 2002, COMPUTER",USA
WADE RH,"WADE, RH","AVGEROU C, 2002, INFORMATION SYSTEMS;BRAGA C, 1999, PRIVATE SECTOR;CIBORRA C., 2000, CONTROL DRIFT DYNAMI;COHEN E, 2002, C GLOB GROWTH IN CTR;DUMONT RENE, 1962, FALSE START AFRICA;FELLER J., 2002, UNDERSTANDING OPEN S;GALLAGHER D, 2001, INT HEARLD TRIB 1116;HANSETH O, 1998, P 19 INT C INF SYST, P188;HARVEY F, 2002, FINANCIAL TIMES 0318;HILBERT MARTIN R., 2001, IND EC DIGITAL EC;HIRSCHMANN D, 2002, INT DEV PROGR SCH IN;KENNY C, 2000, INFORMATION COMMUNIC, P10;LESSIG L, 2001, FOREIGN POLICY;SPAR D, 2001, PIRATES PROPHETS PIO;*UN DEV PROGR, 2001, HUM DEV REP 2001, P95;WADE R, 2002, REV INT POLITICAL EC, V9;WADE R, 1990, GOVERNING MARKET EC, PCH4;WILKS A, 2000, J INT COOPERATION ED, V3, P23;*WORLD BANK, 2001, WORLD DEV IND 2001 W;*WORLD BANK, 2001, WORLD BANK ICT EXP W;2001, HUMAN DEV REPORT 200, P113;2002, ECONOMIST 0504, P37;2002, INT HERALD TRIB 0412",NA,NA,NA,NA,NA,NA,443,"UNIV LONDON LONDON SCH ECON & POLIT SCI, LONDON WC2A 2AE, ENGLAND.;",NA,NA,NA,NA,NA,NA,2022-09-18,NA,10.1163/19426720-00804005,ARTICLE,NA,NA,NA,NA,466,,NA,NA,625DQ,NA,NA,NA,4,GLOB GOV,GLOB. GOV.,ENGLISH,23,NA,NA,"1800 30TH ST SUITE 314, BOULDER, CO 80301 USA",OCT-DEC,24,BOULDER,NA,NA,J,LYNNE RIENNER PUBL INC,2002,NA,"WADE, RH (CORRESPONDING AUTHOR), UNIV LONDON LONDON SCH ECON & POLIT SCI, LONDON WC2A 2AE, ENGLAND.",INTERNATIONAL RELATIONS,NA,NA,1075-2846,GLOBAL GOVERNANCE,NA,NA,74,BRIDGING THE DIGITAL DIVIDE: NEW ROUTE TO DEVELOPMENT OR NEW FORM OF DEPENDENCY?,0,16,WOS:000179802000004,8,INTERNATIONAL RELATIONS,SOCIAL SCIENCE CITATION INDEX (SSCI),75,ISI,UNIV LONDON LONDON SCH ECON AND POLIT SCI,UNIV LONDON LONDON SCH ECON AND POLIT SCI,NA,"WADE RH, 2002, GLOB GOV","WADE RH, 2002, GLOB GOV",UNITED KINGDOM
